tick,tick_dt,input_force,output_position,output_speed,output_ang_vel,output_angle
132.0,0.0046173029999998505,-0.00012794342963,-1.779712540198277e-08,-9.55701174868043e-08,-1.5163302164002785e-07,1.9231108413510477e-07
133.0,0.005643592000000197,-0.00012794342963,-1.785106127703153e-08,-1.194369843014709e-07,-2.1724556792958804e-07,1.922255086443184e-07
134.0,0.004750309999999924,-0.00012794342963,-1.790779754712124e-08,-1.8241686208868828e-07,-2.975478226776157e-07,1.9212231026493924e-07
135.0,0.004601409999999806,-0.00012794342963,-1.799173502445959e-08,-1.5971771812597462e-07,-3.006106249870861e-07,1.9198539631226456e-07
136.0,0.005861585999999974,-0.00012794342963,-1.8085354938511506e-08,-9.623735345217963e-08,-1.555934628031723e-07,1.91809190809177e-07
137.0,0.004528925000000239,-0.00012794342963,-1.812894011410985e-08,-1.8439293564689487e-07,-2.8149865253121804e-07,1.917387236968244e-07
138.0,0.004849529000000352,-0.00012794342963,-1.821836200299133e-08,-2.0944708630600225e-07,-4.2093650691668165e-07,1.916022101089333e-07
139.0,0.005203736999999986,-0.00012794342963,-1.8327352758246605e-08,-1.2929967472926647e-07,-2.193273549651486e-07,1.91383165821364e-07
140.0,0.0050842500000003454,-0.00012794342963,-1.8393091945370836e-08,-1.2198976612808617e-07,-1.941926562782074e-07,1.9127165431091581e-07
141.0,0.004470601999999602,-0.00012794342963,-1.8447628714614005e-08,3.808423873736578e-08,1.4626543653949192e-07,1.9118483850316155e-07
142.0,0.005633510000000008,-0.00012794342963,-1.842617392063707e-08,-2.9491593046344034e-08,-5.431288238146383e-08,1.9126723728310152e-07
143.0,0.004770930000000284,-0.00012794342963,-1.8440244153238332e-08,-1.449299456066366e-07,-1.0563878461536009e-07,1.912413249871075e-07
144.0,0.005311148000000099,-0.00012794342963,-1.8517218592313212e-08,-1.5784319191965263e-07,-2.8572490018988846e-07,1.9118521866514427e-07
145.0,0.004793364000000189,-0.00012794342963,-1.8592878579692492e-08,-1.457787850228104e-07,-2.3206569948393804e-07,1.9104826032009687e-07
146.0,0.005140689000000087,-0.00012794342963,-1.8667818919352505e-08,-1.2315024164266424e-07,-1.9879691301684577e-07,1.9092896256123542e-07
147.0,0.0046173139999998725,-0.00012794342963,-1.872468125283651e-08,-9.038553134138933e-08,-1.2771101077237746e-07,1.9083717178427248e-07
148.0,0.005011513000000356,-0.00012794342963,-1.876997807936944e-08,-1.1034015671943617e-07,-1.734315234075937e-07,1.907731692451996e-07
149.0,0.005173527999999816,-0.00012794342963,-1.8827062868400677e-08,-1.1564593716415324e-07,-1.6578243710873205e-07,1.906834439609564e-07
150.0,0.0053459110000000365,-0.00012794342963,-1.8888886157159795e-08,-8.08250572547527e-08,-1.0525851922766138e-07,1.9059481814554175e-07
151.0,0.00438081700000037,-0.00012794342963,-1.8924294135644557e-08,-7.252200914448513e-08,-8.576447616928129e-08,1.90548706314499e-07
152.0,0.005004978000000104,0.002729102729,-1.896059124167295e-08,6.688776640299445e-07,1.567816794217813e-06,1.9050578138285812e-07
153.0,0.005027719000000097,0.002729102729,-1.8624298347661048e-08,5.496206730098256e-07,1.2326527701897592e-06,1.9129403561133895e-07
154.0,0.005337008999999782,0.002729102729,-1.833096529981711e-08,5.925853909867422e-08,2.0168821284144107e-07,1.9195190350417668e-07
155.0,0.004685666999999949,0.002729102729,-1.8303198721704826e-08,3.2584837891128274e-07,7.63136339143398e-07,1.920464078844967e-07
156.0,0.005045104999999772,0.002729102729,-1.8138804793136113e-08,5.179968671650159e-07,1.2491252906610271e-06,1.9243141818052609e-07
157.0,0.004688015000000156,0.002729102729,-1.7895967084813845e-08,2.781782931816223e-07,6.650116608845514e-07,1.9301700999047593e-07
158.0,0.005068870000000114,0.002729102729,-1.7754962124317888e-08,3.1978984244911004e-07,8.191422288530298e-07,1.9335409575622673e-07
159.0,0.005840387999999752,0.002729102729,-1.7568192448481728e-08,3.6260786085458616e-07,8.469237862384319e-07,1.9383250660059535e-07
