tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
16370.0,-21.151073775569376,-3.710598984958082,-3.459928482511971,-2.0870295706050785,-21.151073775569376,-3.710598984958082,-3.459928482511971,-2.0870295706050785
16371.0,-21.152207166650157,-3.710674965748925,-3.4605659592940867,-2.0870253963916516,,,,
16372.0,-21.15344437643394,-3.710758076680991,-3.4612618133538606,-2.087020719443066,-21.15344437643394,-3.710758076680991,-3.4612618133538606,-2.087020719443066
16373.0,-21.154685005066607,-3.710841593992866,-3.4619595731129205,-2.087015877098781,,,,
16374.0,-21.15591206039786,-3.710924366452262,-3.4626496817832964,-2.0870109614140997,-21.15591206039786,-3.710924366452262,-3.4626496817832964,-2.0870109614140997
16375.0,-21.157182728895556,-3.7110102636119406,-3.463364301328493,-2.087005725416869,,,,
16376.0,-21.158571576218517,-3.711104373482423,-3.4641453641951654,-2.0869997956335946,-21.158571576218517,-3.711104373482423,-3.4641453641951654,-2.0869997956335946
16377.0,-21.159514472588143,-3.711168358342534,-3.4646756172769084,-2.086995734594154,,,,
16378.0,-21.160872776783847,-3.711260736998967,-3.4654394670376836,-2.0869897403845306,-21.160872776783847,-3.711260736998967,-3.4654394670376836,-2.0869897403845306
16379.0,-21.16207493652655,-3.711342665149175,-3.4661154893457664,-2.0869842739052755,,,,
16380.0,-21.16331905924776,-3.711427622884832,-3.4668150918315046,-2.08697850616272,-21.16331905924776,-3.711427622884832,-3.4668150918315046,-2.08697850616272
16381.0,-21.16455867632123,-3.7115124464812643,-3.467512142791695,-2.0869726209871726,,,,
16382.0,-21.165781914861302,-3.711596316276002,-3.4681999662541996,-2.0869666902816277,-21.165781914861302,-3.711596316276002,-3.4681999662541996,-2.0869666902816277
16383.0,-21.16704281613491,-3.7116829474261186,-3.4689089493260425,-2.0869604356911307,,,,
16384.0,-21.168171679468283,-3.7117606464012205,-3.4695436730207714,-2.0869547457025033,-21.168171679468283,-3.7117606464012205,-3.4695436730207714,-2.0869547457025033
16385.0,-21.169583533990437,-3.711858054913175,-3.470337494814779,-2.0869474104963754,,,,
16386.0,-21.17077115510051,-3.7119401507228877,-3.471005220456129,-2.086941120538606,-21.17077115510051,-3.7119401507228877,-3.471005220456129,-2.086941120538606
16387.0,-21.17193587357563,-3.712020806759413,-3.471660052910554,-2.0869348834484103,,,,
16388.0,-21.17337047458971,-3.7121203948770876,-3.4724665998174733,-2.0869269518865474,-21.17337047458971,-3.7121203948770876,-3.4724665998174733,-2.0869269518865474
16389.0,-21.17437013648579,-3.7121898973521876,-3.4730286024283212,-2.0869213664029016,,,,
16390.0,-21.175788887206092,-3.712288761983134,-3.4738261966445836,-2.0869132670202313,-21.175788887206092,-3.712288761983134,-3.4738261966445836,-2.0869132670202313
16391.0,-21.176973700049935,-3.712371485212966,-3.474492255187247,-2.086906363999201,,,,
16392.0,-21.178386057921962,-3.7124703199445985,-3.475286210922313,-2.0868979543626764,-21.178386057921962,-3.7124703199445985,-3.475286210922313,-2.0868979543626764
16393.0,-21.18101960393007,-3.712655551035938,-3.476766611115014,-2.086880741456026,,,,
16394.0,-21.183249960466465,-3.71281297394516,-3.478020292755661,-2.0868657653404528,-21.183249960466465,-3.71281297394516,-3.478020292755661,-2.0868657653404528
16395.0,-21.184323985924628,-3.712888867893337,-3.478623971684675,-2.086858691210405,,,,
16396.0,-21.185579293848786,-3.7129777069323446,-3.4793295274782596,-2.086850510032065,-21.185579293848786,-3.7129777069323446,-3.4793295274782596,-2.086850510032065
16397.0,-21.18684368256341,-3.713067373435936,-3.4800401674126342,-2.0868420956680658,,,,
