plant_seq,force_value,force_target
84.0,-2.2155737425e-06,-2.2155737425e-06
85.0,-2.2155737425e-06,
86.0,-2.2155737425e-06,
87.0,-2.2155737425e-06,
88.0,-2.2155737425e-06,
89.0,-2.2155737425e-06,
90.0,-2.2155737425e-06,
91.0,-2.2155737425e-06,
92.0,-2.2155737425e-06,
93.0,-2.2155737425e-06,
94.0,-2.2155737425e-06,
95.0,-2.2155737425e-06,
96.0,-2.2155737425e-06,
97.0,-2.2155737425e-06,
98.0,-2.2155737425e-06,
99.0,-2.2155737425e-06,
100.0,-2.2155737425e-06,
101.0,-2.2155737425e-06,
102.0,-2.2155737425e-06,
103.0,-2.2155737425e-06,
104.0,-2.2155737425e-06,
105.0,-2.2155737425e-06,
106.0,-2.2155737425e-06,
107.0,2.2155737425e-06,2.2155737425e-06
108.0,2.2155737425e-06,
109.0,2.2155737425e-06,
110.0,2.2155737425e-06,
111.0,2.2155737425e-06,
112.0,2.2155737425e-06,
113.0,2.2155737425e-06,
114.0,2.2155737425e-06,
115.0,2.2155737425e-06,
116.0,2.2155737425e-06,
117.0,2.2155737425e-06,
118.0,2.2155737425e-06,
119.0,2.2155737425e-06,
120.0,2.2155737425e-06,
121.0,2.2155737425e-06,
122.0,2.2155737425e-06,
123.0,2.2155737425e-06,
124.0,2.2155737425e-06,
125.0,2.2155737425e-06,
126.0,2.2155737425e-06,
127.0,2.2155737425e-06,
128.0,-2.2155737425e-06,-2.2155737425e-06
129.0,-2.2155737425e-06,
130.0,-2.2155737425e-06,
131.0,-2.2155737425e-06,
132.0,-2.2155737425e-06,
133.0,-2.2155737425e-06,
134.0,-2.2155737425e-06,
135.0,-2.2155737425e-06,
136.0,-2.2155737425e-06,
137.0,-2.2155737425e-06,
138.0,-2.2155737425e-06,
139.0,-2.2155737425e-06,
140.0,-2.2155737425e-06,
141.0,-2.2155737425e-06,
142.0,-2.2155737425e-06,
143.0,-2.2155737425e-06,
144.0,-2.2155737425e-06,
145.0,-2.2155737425e-06,
146.0,2.2155737425e-06,2.2155737425e-06
147.0,2.2155737425e-06,
148.0,2.2155737425e-06,
149.0,2.2155737425e-06,
150.0,2.2155737425e-06,
151.0,2.2155737425e-06,
152.0,2.2155737425e-06,
153.0,2.2155737425e-06,
154.0,2.2155737425e-06,
155.0,2.2155737425e-06,
156.0,2.2155737425e-06,
157.0,2.2155737425e-06,
158.0,2.2155737425e-06,
159.0,2.2155737425e-06,
160.0,2.2155737425e-06,
161.0,2.2155737425e-06,
162.0,2.2155737425e-06,
163.0,2.2155737425e-06,
164.0,-2.2155737425e-06,-2.2155737425e-06
165.0,-2.2155737425e-06,
166.0,-2.2155737425e-06,
167.0,-2.2155737425e-06,
168.0,-2.2155737425e-06,
169.0,-2.2155737425e-06,
170.0,-2.2155737425e-06,
171.0,-2.2155737425e-06,
172.0,-2.2155737425e-06,
